	a11	a12	a13	a21	a22	a23	a31	a32	a33	b11	b12	b13	b21	b22	b23	b31	b32	b33	c11	c12	c13	c21	c22	c23	c31	c32	c33
11	0.0	0.0	0.0	1.0	1.0	0.281002569346	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816999632951	1.0	0.626396098789	0.743012951602	0.750406376173	0.0	0.0	0.681715693986	0.626396098789
12	0.992606575429	0.00230716795134	0.0	1.0	0.00230716795134	0.00739342457134	0.37528184154	0.0315662524251	0.0	0.08138010592	1.0	0.0820093335431	0.0739866813486	0.816999632951	0.0207645115621	0.0788631954276	0.192071731949	0.0384353206439	0.0	0.0	0.0	0.0	1.0	0.0438886267107	0.0	0.013843007708	0.013843007708
13	0.00739342457134	0.0	0.0	1.0	0.0	0.992606575429	0.997378218237	0.0	0.032352786954	0.0553195951969	0.0	1.0	0.0	0.0	0.626396098789	0.0	0.0	0.0	0.0	0.0	0.0	0.153164490588	0.196738503487	0.0	0.191599811232	1.0	0.0
14	0.0	0.0234911645955	0.0234911645955	0.0	1.0	0.0939646583818	0.0	0.0	0.0	1.0	0.0	0.0234911645955	1.0	0.0	0.0234911645955	0.148392847779	0.000471920717319	0.0234911645955	0.175606942478	1.0	0.373603901211	0.175606942478	0.228829112265	0.0	0.0	0.310890881443	0.310890881443
15	0.0	0.184783178648	0.184783178648	0.0	0.149546431755	1.0	0.0	0.00115358397567	0.00115358397567	0.352839389649	0.0013633265167	0.247181584605	0.0939646583818	0.0	0.117455822977	1.0	0.00183524723402	0.247181584605	0.316396623145	1.0	0.224005033821	0.232499606733	0.25221540559	0.0	0.376750039327	0.318808662367	0.213832520581
16	0.0	0.0	0.0	0.0	0.0	1.0	0.00262178176289	0.0	0.032352786954	0.148235540874	0.00739342457134	1.0	0.0234911645955	0.0	0.4995542971	0.318808662367	0.00739342457134	1.0	0.0856798280111	0.247181584605	0.0573645849719	0.740443605474	0.773845105133	0.0	0.763357978082	1.0	0.054533060668
17	0.0601436736406	0.0283676786744	0.0	0.0601436736406	0.0259556394526	0.0	1.0	0.127733207488	0.0	0.304651040847	1.0	0.32143044413	0.134392533166	0.531015678255	0.151171936448	5.24356352577e-05	0.0114309684862	0.000996277069897	0.0	0.0	0.0	0.0	0.378742593467	1.0	0.0	0.296471081747	0.296471081747
18	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.937286980232	0.296471081747	1.0	0.320958523413	0.177914110429	0.383671543181	0.00120601961093	0.0108541764983	0.00214986104557	0.0	0.0	0.0	0.0	0.132452414661	0.32143044413	0.0	1.0	1.0
19	0.0	0.195742226417	0.0281055004981	0.0	0.0627130197682	0.0	0.309684861832	1.0	0.0436788841697	0.0100676419695	0.0310418960726	0.0100676419695	1.0	0.418436369357	0.992606575429	0.00739342457134	0.0	0.0	0.0374914792093	0.0	1.0	0.0374914792093	0.00797021655917	0.138167898904	0.0	0.0	0.0
20	0.218446856484	0.294373656337	0.000314613811546	0.215248282733	0.256515127681	0.0	0.531015678255	1.0	0.00330344502124	0.0412668449478	0.127733207488	0.0437837554402	0.138639819621	1.0	0.141156730114	0.0	0.000786534528866	0.0	0.27984898537	0.0	0.418436369357	0.27984898537	0.0242252634891	1.0	0.0	0.0	0.0
21	0.175606942478	0.783493262021	0.767919878349	0.626396098789	0.937286980232	0.126841801688	0.689109118557	1.0	0.95632111583	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.00739342457134	0.0	1.0	0.0	0.0	0.0	0.00739342457134	0.0	1.0
22	0.0317235593309	0.000419485082062	0.231241151487	0.0257983325468	0.0	0.21661160925	0.042315557653	0.0	1.0	0.0	0.0	0.0	0.00068166325835	0.00534843479629	0.0550574170206	0.210214461748	1.0	0.245713386818	0.0074458602066	0.0	0.0127942950029	0.396308531278	0.032352786954	1.0	0.500131089088	0.0210266897383	0.384038592628
23	0.0	0.0	0.0	0.0	0.0	0.0	0.00262178176289	0.0	1.0	0.0	0.0	0.0	0.0155733836715	0.0134759582612	0.197053117299	0.790414765875	0.38456294898	1.0	0.0	0.0	0.0	0.12605526716	0.00566304860783	0.245713386818	0.866918357716	0.032352786954	1.0
