Dir	Valid	Unique	Doubles	Singles
x3+17x2+51x+4y6+y5+5y4+13y3+z30+2z29	3	3	3	3
x3+17x2+51x+4y6+y5+5y4+13y3+z31+z29+z28	1	1	1	0
x3+17x2+51x+4y6+y5+5y4+13y3+z31+z30+z27	2	2	2	2
x3+18x2+50x+4y6+2y5+4y4+13y3+z31+2z29	82	82	82	63
x3+18x2+50x+4y6+2y5+4y4+13y3+z31+z30+z28	7	7	7	3
x3+18x2+50x+4y6+2y5+4y4+13y3+z32+z29+z28	13	13	13	6
x3+18x2+50x+4y6+3y5+2y4+14y3+z31+z30+z28	1	1	1	0
x3+18x2+50x+4y6+y5+6y4+12y3+2z30+z29	3	3	3	1
x3+18x2+50x+4y6+y5+6y4+12y3+z31+z30+z28	3	3	3	2
x3+18x2+50x+4y6+y5+6y4+12y3+z32+z30+z27	2	2	2	2
x3+19x2+49x+4y6+2y5+5y4+12y3+2z31+z28	13	13	13	4
x3+19x2+49x+4y6+2y5+5y4+12y3+z31+z30+z29	85	85	85	71
x3+19x2+49x+4y6+2y5+5y4+12y3+z32+2z29	30	30	30	23
x3+19x2+49x+4y6+2y5+5y4+12y3+z32+z30+z28	1	1	1	1
x3+19x2+49x+4y6+y5+7y4+11y3+2z31+z28	5	5	5	3
x3+19x2+49x+4y6+y5+7y4+11y3+z31+z30+z29	3	3	3	3
x3+19x2+49x+4y6+y5+7y4+11y3+z32+z30+z28	1	1	1	0
x3+19x2+49x+4y6+y5+7y4+11y3+z32+z31+z27	1	1	1	1
x3+20x2+48x+4y6+2y5+6y4+11y3+2z31+z29	59	59	59	31
x3+20x2+48x+4y6+2y5+6y4+11y3+z31+2z30	31	31	31	19
x3+20x2+48x+4y6+2y5+6y4+11y3+z32+z30+z29	50	50	50	43
x3+20x2+48x+4y6+2y5+6y4+11y3+z32+z31+z28	2	2	2	1
x3+20x2+48x+4y6+3y5+4y4+12y3+z32+z30+z29	3	3	3	0
x3+20x2+48x+4y6+y5+8y4+10y3+z32+z30+z29	2	2	2	0
x3+21x2+47x+3y6+5y5+4y4+11y3+z34+2z29	5	5	5	0
x3+21x2+47x+4y6+2y5+7y4+10y3+2z31+z30	50	50	50	15
x3+21x2+47x+4y6+2y5+7y4+10y3+z32+z31+z29	74	74	74	48
x3+21x2+47x+4y6+3y5+5y4+11y3+2z31+z30	1	1	1	0
x3+21x2+47x+4y6+3y5+5y4+11y3+z32+2z30	1	1	1	1
x3+21x2+47x+4y6+3y5+5y4+11y3+z32+z31+z29	1	1	1	0
x3+21x2+47x+4y6+3y5+5y4+11y3+z33+z30+z29	5	5	5	0
x3+21x2+47x+y7+3y6+3y5+4y4+12y3+z32+z31+z29	1	1	1	0
x3+22x2+46x+3y6+5y5+5y4+10y3+z34+z30+z29	3	3	3	0
x3+22x2+46x+4y6+2y5+8y4+9y3+2z32+z29	14	14	14	14
x3+22x2+46x+4y6+2y5+8y4+9y3+3z31	45	45	45	5
x3+22x2+46x+4y6+2y5+8y4+9y3+z32+z31+z30	31	31	31	5
x3+22x2+46x+4y6+3y5+6y4+10y3+z32+z31+z30	6	6	6	0
x3+22x2+46x+4y6+3y5+6y4+10y3+z33+z31+z29	3	3	3	0
x3+22x2+46x+y7+3y6+3y5+5y4+11y3+2z32+z29	1	1	1	0
x3+23x2+45x+4y6+2y5+9y4+8y3+2z32+z30	14	14	14	0
x3+23x2+45x+4y6+2y5+9y4+8y3+z32+2z31	57	57	57	1
x3+23x2+45x+4y6+2y5+9y4+8y3+z33+z31+z30	1	1	1	0
x3+23x2+45x+4y6+3y5+7y4+9y3+2z32+z30	2	2	2	0
x3+23x2+45x+4y6+3y5+7y4+9y3+z32+2z31	2	2	2	0
x3+23x2+45x+4y6+3y5+7y4+9y3+z33+z31+z30	1	1	1	0
x3+24x2+44x+4y6+2y5+10y4+7y3+2z32+z31	28	28	28	1
x3+24x2+44x+4y6+2y5+10y4+7y3+z33+2z31	14	14	14	0
x3+24x2+44x+4y6+3y5+8y4+8y3+2z32+z31	3	3	3	0
x3+24x2+44x+4y6+3y5+8y4+8y3+z33+2z31	1	1	1	0
x3+24x2+44x+4y6+3y5+8y4+8y3+z33+z32+z30	1	1	1	0
x3+25x2+43x+4y6+2y5+11y4+6y3+3z32	14	14	14	0
x3+25x2+43x+4y6+3y5+9y4+7y3+z33+z32+z31	3	3	3	0
x3+26x2+42x+4y6+2y5+12y4+5y3+z33+2z32	6	6	6	0
x3+26x2+42x+4y6+3y5+10y4+6y3+z33+2z32	2	2	2	0
x3+27x2+41x+4y6+3y5+11y4+5y3+2z33+z32	4	4	4	0
TOTAL	13009	11629	11629	3087
