Hash	Adds	K Hash	Path
M0dd09b29e3	87	Ka624a77c4e	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w209c238h-000.exp
M51d2b61365	87	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w209c238h-001.exp
Mc86e2e83b3	88	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w211c48ae-000.exp
M7f54b83e0d	88	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w213c238h-001.exp
M6b17148a86	88	K431981c73c	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w213c346d-000.exp
M5cdc79e436	89	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w215c238h-000.exp
M92c648dbc5	87	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w215c48ae-000.exp
Me9d3d73bfc	91	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w217c48ae-000.exp
Mdea94b6057	88	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w219c36cd-000.exp
M3759ae8f77	88	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w219c48ah-000.exp
Ma2d16284ab	92	K4831b95bcd	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+2z30+z27/i14w227c236f-000.exp
Mad24505bdb	77	K4831b95bcd	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w193c236f-000.exp
Mcb32384eeb	79	K4831b95bcd	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w197c236f-000.exp
M37804249bf	79	K992fc077a4	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w197c347g-000.exp
Mdd5f5d3a44	81	K5ed6be0d41	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w199c346f-000.exp
M4cbe4a6a95	81	Kcf4f9b0683	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w201c248h-000.exp
M9c6cedb2f4	81	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w201c28aj-000.exp
Ma3b05e4969	81	K431981c73c	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w201c34aj-000.exp
Mdaec1c90e4	84	K4831b95bcd	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w203c236f-000.exp
M41462db951	83	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w203c356e-000.exp
M9a9ce864fd	83	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w203c356h-000.exp
Mbe96d20974	82	Ka624a77c4e	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w203c36eh-000.exp
M0ab641355f	83	K431981c73c	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w203c389h-000.exp
M02703bfeac	85	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w205c356h-000.exp
M856c7c445e	85	Ka624a77c4e	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w207c238h-000.exp
M14ac0202f8	84	K7ffa7db39f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w207c349i-000.exp
M0bbcc66876	86	K12fc70e8df	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w207c367g-000.exp
M6e9348ddf4	86	Kdafda2915b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w207c39hi-000.exp
Mce5f196474	85	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w207c48ae-000.exp
M2d728d1908	85	K559946bfc2	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w209c247g-000.exp
M74a2d7606e	87	K992fc077a4	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w209c347g-000.exp
M60f5d1af8a	86	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w211c238h-000.exp
Mbb36d1613e	87	Kcf4f9b0683	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w211c248h-000.exp
Me24e84e192	88	K992fc077a4	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w211c347g-000.exp
M538a50cfdd	88	K7ffa7db39f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w213c346d-000.exp
M211ed4e775	89	Kdafda2915b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w213c34dj-000.exp
Mbf0dafddc4	88	K8e6900a483	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w213c38eh-000.exp
M884a8f8de0	89	K5ed6be0d41	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w215c28aj-000.exp
Mf96f1ea08a	90	Kcf4f9b0683	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w215c346f-000.exp
Mb43da6f9da	89	K6895940d07	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w215c356e-000.exp
M0ff7f08d93	87	K559946bfc2	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w217c247g-000.exp
M8a09fcbcc0	91	Ka624a77c4e	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w217c48eh-000.exp
M0bb584d800	89	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w219c23ci-000.exp
Maf8bf36249	89	K6895940d07	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w219c38hj-000.exp
Md4237b5f6b	89	K45911591b5	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w221c28hj-000.exp
Md05a5874a4	89	K431981c73c	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w221c346d-000.exp
Me271faddbb	88	K45911591b5	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w221c356e-000.exp
Me7e0b7ca5c	93	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w221c48ae-000.exp
M99329908a1	93	K559946bfc2	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w223c235e-000.exp
Ma90caafca2	94	K9c4f7421a4	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w223c367g-000.exp
Mc1c39e8424	92	Ka7e5fc0ad4	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w227c347g-000.exp
M781c286019	94	K12fc70e8df	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w227c37gj-000.exp
M1b3e606206	93	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w229c239i-000.exp
Mc067400fb3	93	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w231c23ci-000.exp
Mfd3f7fbdd2	96	K431981c73c	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w233c346d-000.exp
M1e051b5e63	96	K12fc70e8df	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w235c367g-000.exp
M20037d2719	97	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w239c23ci-000.exp
M63f34b16fc	100	K5ed6be0d41	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w241c28aj-000.exp
Me5b2d1845c	100	K7ffa7db39f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z30+z29+z28/i16w241c36dj-000.exp
M6cf6f63c5f	77	K992fc077a4	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w183c347g-000.exp
Mcfb1a29e9a	75	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w185c48ae-000.exp
M33a6f9d028	79	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w187c23ci-000.exp
M473640fba6	81	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w191c23ci-000.exp
Maed52fd068	79	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w191c48ae-000.exp
Mdd8b0fe730	79	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w193c48ae-000.exp
M4551dc33f0	79	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w193c48ae-001.exp
Md702f4a4bc	83	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w195c23ci-000.exp
Mf3fcfd70cb	83	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w195c23ci-001.exp
M99922add11	83	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w199c23ci-001.exp
M18a5630d88	83	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w199c48ae-000.exp
M4a4be94ac7	83	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w199c48ae-001.exp
M2d1b863a37	83	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w199c48ae-002.exp
M807aa5c744	81	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w201c48ae-000.exp
M7c28be8242	83	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w201c48ae-001.exp
M026008693f	85	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w203c23ci-000.exp
M8983b9d609	85	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w203c23ci-002.exp
Ma660a488a8	87	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w203c23ci-003.exp
M76155cc5fb	84	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w203c48ae-000.exp
M8c04c70e4a	85	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w207c238h-000.exp
M2a194e0258	85	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w207c238h-001.exp
M9c073a4dbd	87	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w207c48ae-000.exp
Mfc641133ee	85	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w209c48ae-000.exp
Md521c68bb9	89	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w211c23ci-000.exp
M520c5abbab	89	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w211c23ci-002.exp
M1b490b5d5b	86	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w211c48ae-000.exp
Mf1e22afb03	89	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w215c48ae-000.exp
Ma26b3c30ac	87	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w217c48ae-001.exp
M89be9a221b	91	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w219c23ci-000.exp
M7f3f400ca5	91	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w223c48ae-000.exp
M24d7906e9f	92	K98c04fba6b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w227c238h-000.exp
Mf9aca83b7d	92	K6895940d07	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w227c48ah-000.exp
Mc1929b00c0	90	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w229c23ci-000.exp
M014e9248f0	90	Kdafda2915b	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+2z28/i17w229c34dj-000.exp
M12ec046e26	76	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w185c23ci-000.exp
Mf3242a084f	76	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w187c48ae-000.exp
M0b50c0aa5d	78	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w189c23ci-000.exp
M707fa7c6a7	80	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w193c23ci-001.exp
M31bf171fce	80	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w195c48ae-000.exp
Mcc1f59dd57	80	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w195c48ae-001.exp
Mca9bd50535	82	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w197c23ci-000.exp
